epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970689652,2020-10-06T10:51:29.652,6.480,0.041,-0.015,1.017
1601970689672,2020-10-06T10:51:29.672,6.500,0.041,-0.016,1.016
1601970689692,2020-10-06T10:51:29.692,6.520,0.044,-0.017,1.019
1601970689712,2020-10-06T10:51:29.712,6.540,0.043,-0.017,1.019
1601970689732,2020-10-06T10:51:29.732,6.560,0.047,-0.019,1.019
1601970689752,2020-10-06T10:51:29.752,6.580,0.050,-0.018,1.020
1601970689772,2020-10-06T10:51:29.772,6.600,0.046,-0.018,1.017
1601970689792,2020-10-06T10:51:29.792,6.620,0.044,-0.016,1.018
1601970689812,2020-10-06T10:51:29.812,6.640,0.043,-0.017,1.018
1601970689832,2020-10-06T10:51:29.832,6.660,0.044,-0.019,1.020
1601970689852,2020-10-06T10:51:29.852,6.680,0.040,-0.017,1.016
1601970689872,2020-10-06T10:51:29.872,6.700,0.037,-0.017,1.015
1601970689892,2020-10-06T10:51:29.892,6.720,0.043,-0.018,1.021
1601970689912,2020-10-06T10:51:29.912,6.740,0.046,-0.017,1.022
1601970689932,2020-10-06T10:51:29.932,6.760,0.042,-0.019,1.016
1601970689952,2020-10-06T10:51:29.952,6.780,0.042,-0.017,1.018
1601970689972,2020-10-06T10:51:29.972,6.800,0.043,-0.018,1.020
1601970689992,2020-10-06T10:51:29.992,6.820,0.047,-0.015,1.017
1601970690012,2020-10-06T10:51:30.012,6.840,0.039,-0.019,1.019
1601970690032,2020-10-06T10:51:30.032,6.860,0.037,-0.017,1.015
1601970690052,2020-10-06T10:51:30.052,6.880,0.045,-0.018,1.017
1601970690072,2020-10-06T10:51:30.072,6.900,0.054,-0.019,1.022
1601970690092,2020-10-06T10:51:30.092,6.920,0.046,-0.019,1.018
1601970690112,2020-10-06T10:51:30.112,6.940,0.039,-0.018,1.015
1601970690132,2020-10-06T10:51:30.132,6.960,0.042,-0.019,1.016
1601970690152,2020-10-06T10:51:30.152,6.980,0.042,-0.018,1.018
1601970690172,2020-10-06T10:51:30.172,7.000,0.038,-0.018,1.017
1601970690192,2020-10-06T10:51:30.192,7.020,0.044,-0.018,1.020
1601970690212,2020-10-06T10:51:30.212,7.040,0.051,-0.019,1.020
1601970690232,2020-10-06T10:51:30.232,7.060,0.046,-0.019,1.019
1601970690252,2020-10-06T10:51:30.252,7.080,0.040,-0.016,1.015
1601970690272,2020-10-06T10:51:30.272,7.100,0.045,-0.015,1.019
1601970690292,2020-10-06T10:51:30.292,7.120,0.048,-0.019,1.020
1601970690312,2020-10-06T10:51:30.312,7.140,0.037,-0.016,1.016
1601970690332,2020-10-06T10:51:30.332,7.160,0.040,-0.017,1.015
1601970690352,2020-10-06T10:51:30.352,7.180,0.053,-0.021,1.020
